," 2"," 3"," 4"," 5"," 6"," 7"," 8"
Senin,211820230,Algoritma Pemrograman,D,3,"1,2,3",II,"Drs., Wahyu Pujiyono, M. Kom."
211821020,Kemuhammadiyahan,A,2,"1,2",II,"Husnul Khotimah Husaeri, S.Psi., S.H.I., M.Sc",4.1.4.39
211840131,Analisis dan Perancangan Perangkat Lunak,B,3,"1,2",IV,"Drs., Tedy Setiadi, M.T.",4.1.4.49
211840131,Analisis dan Perancangan Perangkat Lunak,C,3,"1,2",IV,"Ali Tarmuji, S.T., M.Cs.",4.1.5.57
211840531,Kecerdasan Buatan,E,3,"1,2",IV,"Andri Pranolo, S.Kom., M.Cs., Ph.D.",4.1.5.60
211820631,Matematika Diskrit,C,3,"3,4",II,"Lisna Zahrotun, S.T., M.Cs.",4.1.4.40
211821020,Kemuhammadiyahan,B,2,"3,4",II,"Husnul Khotimah Husaeri, S.Psi., S.H.I., M.Sc",4.1.4.39
211840131,Analisis dan Perancangan Perangkat Lunak,D,3,"3,4",IV,"Murein Miksa Mardhia, S.T., M.T.",4.1.5.57
211840330,Interaksi Manusia dan Komputer,F,3,"3,4",IV,"Jefree Fahana, S.T., M.Kom",4.1.5.60
211840531,Kecerdasan Buatan,A,3,"3,4",IV,"Ir., Sri Winiarti, S.T., M.Cs.",4.1.5.59
211840831,Strategi Algoritma,E,3,"3,4",IV,"Drs., Tedy Setiadi, M.T.",4.1.4.49
211860120,Manajemen Proyek Teknologi Informasi,B,2,"3,4",VI,"Guntur Maulana Zamroni, B.Sc., M.Kom.",Daring ( T. Informatika )
211860220,Metodologi Penelitian,C,2,"3,4",VI,"Faisal Fajri Rahani, S.Si., M.Cs.",Daring ( T. Informatika )
211870220,Kapita Selekta,A,2,"3,4",VII,"Dr., Murinto, S.Si., M.Kom.Miftahurrahma Rosyda, S.Kom., M.Eng.",4.1.4.46
211820230,Algoritma Pemrograman,E,3,"4,5,6",II,"Rusydi Umar, M.T., Ph.D.",4.1.5.55
211820430,Arsitektur Komputer,A,3,"5,6",II,"Jefree Fahana, S.T., M.Kom",4.1.4.40
211820430,Arsitektur Komputer,B,3,"5,6",II,"Jefree Fahana, S.T., M.KomJihad Rahmawan, S.T., M.Sc",4.1.5.57
211820631,Matematika Diskrit,D,3,"5,6",II,"Lisna Zahrotun, S.T., M.Cs.",4.1.5.59
211840831,Strategi Algoritma,D,3,"5,6",IV,"Dr., Ir., Ardi Pujiyanta, M.T.",4.1.4.49
211860220,Metodologi Penelitian,B,2,"5,6",VI,"Prof. Drs. Ir., Abdul Fadlil, M.T., Ph.D.Ir., Sri Winiarti, S.T., M.Cs.",Daring ( T. Informatika )
211861031,Visualisasi Data,A,3,"5,6",VI,"Murein Miksa Mardhia, S.T., M.T.",4.1.5.60
211821020,Kemuhammadiyahan,C,2,"7,8",II,"Husnul Khotimah Husaeri, S.Psi., S.H.I., M.Sc",4.1.4.40
211840131,Analisis dan Perancangan Perangkat Lunak,E,3,"7,8",IV,"Guntur Maulana Zamroni, B.Sc., M.Kom.",4.1.5.57
211840831,Strategi Algoritma,C,3,"7,8",IV,"Dr., Dewi Pramudi Ismi, S.T., M.CompSc",4.1.5.55
211860330,Rekayasa Perangkat Lunak,C,3,"7,8,9",VI,"Dr., Ardiansyah, S.T., M.Cs.",4.1.4.49
211861431,Pengenalan Pola,B,3,"7,8",VI,"Ir., Ahmad Azhari, S.Kom., M.Eng.Miftahurrahma Rosyda, S.Kom., M.Eng.",4.1.5.60
211821020,Kemuhammadiyahan,D,2,"9,10",II,"Fharkhan Luthfi, S.Kom.I., M.Sos.",4.1.4.40
211840330,Interaksi Manusia dan Komputer,A,3,"9,10",IV,"Murein Miksa Mardhia, S.T., M.T.",4.1.5.57
211840420,Islam Interdisipliner,B,2,"9,10",IV,"M. Baihaqi Fadhlil Wafi, M.Ag.",4.1.4.39
211860431,Teknologi Multimedia,F,3,"9,10",VI,"Dinan Yulianto, S.T., M.Eng.",4.1.5.55
211860831,Sistem Informasi Geografis,A,3,"9,10",VI,"Muhammad Aziz, S.T., M.Sc.",4.1.5.59
211861331,Pengembangan Aplikasi Game,B,3,"9,10",VI,"Bambang Robiin, S.T.,M.T.",4.1.5.60
211821020,Kemuhammadiyahan,E,2,"11,12",II,"Fharkhan Luthfi, S.Kom.I., M.Sos.",4.1.4.40
211840330,Interaksi Manusia dan Komputer,B,3,"11,12",IV,"Supriyanto, S.T., M.T.",4.1.5.57
211840420,Islam Interdisipliner,A,2,"11,12",IV,"M. Baihaqi Fadhlil Wafi, M.Ag.",4.1.4.39
Selasa,211820230,Algoritma Pemrograman,C,3,"1,2,3",II,"Drs., Wahyu Pujiyono, M. Kom."
211820320,Aljabar Linear Matrik,A,2,"1,2",II,"Sheraton Pawestri, S.Kom., M.Cs.",4.1.5.55
211820430,Arsitektur Komputer,D,3,"1,2",II,"Jefree Fahana, S.T., M.Kom",4.1.4.39
211820731,Pemrograman Web,B,3,"1,2",II,"Ali Tarmuji, S.T., M.Cs.",4.1.5.57
211840330,Interaksi Manusia dan Komputer,C,3,"1,2",IV,"Dwi Normawati, S.T., M.Eng.",4.1.5.60
211860330,Rekayasa Perangkat Lunak,D,3,"1,2,3",VI,"Dr., Ardiansyah, S.T., M.Cs.",4.1.4.40
211820320,Aljabar Linear Matrik,B,2,"3,4",II,"Faisal Fajri Rahani, S.Si., M.Cs.",4.1.5.57
211820320,Aljabar Linear Matrik,D,2,"3,4",II,"Sheraton Pawestri, S.Kom., M.Cs.",4.1.5.60
211820820,Pendidikan Kewarganegaraan,F,2,"3,4",II,Daring ( T. Informatika ),
211840231,Grafika Komputer,E,3,"3,4",IV,"Ir., Ahmad Azhari, S.Kom., M.Eng.Miftahurrahma Rosyda, S.Kom., M.Eng.",4.1.5.55
211840531,Kecerdasan Buatan,B,3,"3,4",IV,"Ir., Sri Winiarti, S.T., M.Cs.",4.1.4.39
211840630,Komunikasi Data dan Jaringan Komputer,C,3,"4,5,6",IV,"Mushlihudin, S.T., M.T.",4.1.5.59
211840231,Grafika Komputer,A,3,"5,6",IV,"Dr., Murinto, S.Si., M.Kom.",4.1.5.55
211840231,Grafika Komputer,D,3,"5,6",IV,"Ir., Ahmad Azhari, S.Kom., M.Eng.Miftahurrahma Rosyda, S.Kom., M.Eng.",4.1.5.57
211861231,Pemrosesan Bahasa Alami,A,3,"5,6",VI,"Dewi Soyusiowaty, S.T., M.T.",4.1.5.60
211840231,Grafika Komputer,B,3,"7,8",IV,"Sheraton Pawestri, S.Kom., M.Cs.",4.1.5.55
211840630,Komunikasi Data dan Jaringan Komputer,A,3,"7,8,9",IV,"Taufiq Ismail, S.T., M.Cs.",4.1.5.59
211840831,Strategi Algoritma,G,3,"7,8",IV,"Dr., Ir., Ardi Pujiyanta, M.T.",4.1.5.57
